Date,Open,High,Low,Close,Adj Close,Volume,Date,DaysBack,NextDayGain|Loss%,LstSqk_5Days,LstSqbias_5Days,LstSqk_10Days,LstSqbias_10Days,LstSqk_20Days,LstSqbias_20Days,LstSqk_50Days,LstSqbias_50Days,LstSqk_200Days,LstSqbias_200Days,5DMovAve,20DMovAve,200DMovAve,UpBlg,LwBlg,NormalizedBollinger,14-Day RSI,StcOsc K%,StcOsc D%,StcOsc D%D%,StcOsc K%-D%,StcOsc Diff(K%-D%)
2017-10-11,13.62,13.96,13.61,13.88,13.88,38746553,2017-10-11,0,,,,,,,,,,,,13.524,13.089,12.6636,0.930057157272,-0.930057157272,0.850485364061,58.0756013746,0.801104972376,0.692449355433,0.593981494734,0.108655616943,
2017-10-10,13.72,13.79,13.44,13.7,13.7,43138400,2017-10-10,-1,1.31386861314,,,,,,,,,,,13.41,13.006,12.6521,0.929117294732,-0.929117294732,0.74694551908,49.3464052288,0.701657458564,0.572744014733,0.534170374973,0.128913443831,-0.0202578268877
2017-10-09,13.26,13.83,13.26,13.47,13.47,54032500,2017-10-09,-2,1.70749814402,,,,,,,,,,,13.354,12.936,12.6416,0.919871844622,-0.919871844622,0.580515648046,55.0724637681,0.574585635359,0.516751114037,0.533487093656,0.0578345213218,0.0710789225088
2017-10-06,13.22,13.39,13.18,13.23,13.23,28258700,2017-10-06,-3,1.81405895692,,,,,,,,,,,13.202,12.89,12.6316,0.899216032823,-0.899216032823,0.378107137317,52.3076923077,0.441988950276,0.513015996148,0.5234693775,-0.0710270458714,0.128861567193
2017-10-05,13.38,13.46,13.21,13.34,13.34,34758600,2017-10-05,-4,-0.824587706147,0.155,13.834,,,,,,,,,13.106,12.841,12.623,0.927563872111,-0.927563872111,0.537968343748,61.0810810811,0.533678756477,0.570694170782,0.485484389739,-0.0370154143051,-0.0340116315664
2017-10-04,13.31,13.5,13.15,13.31,13.31,42303200,2017-10-04,-5,0.22539444027,0.091,13.592,,,,,,,,,12.986,12.8055,12.61105,0.901121523438,-0.901121523438,0.559857895831,63.358778626,0.56338028169,0.486697965571,0.395290937544,0.0766823161189,-0.113697730424
2017-10-03,12.73,13.48,12.7,13.42,13.42,85174000,2017-10-03,-6,-0.819672131148,0.002,13.358,,,,,,,,,12.872,12.783,12.5978,0.870017543684,-0.870017543684,0.732169143742,65.5440414508,0.615023474178,0.399061032864,0.337150851235,0.215962441315,-0.139280125196
2017-10-02,12.8,12.85,12.62,12.71,12.71,34461100,2017-10-02,-7,5.58615263572,0.096,13.394,,,,,,,,,12.678,12.758,12.585,0.820259265818,-0.820259265818,-0.0585180832455,56.346749226,0.281690140845,0.300113814198,0.295544648362,-0.0184236733533,0.234386114668
2017-09-29,12.77,12.82,12.6,12.75,12.75,33926900,2017-09-29,-8,-0.313725490196,0.178,13.462,,,,,,,,,12.658,12.782,12.5742,0.842142630751,-0.842142630751,-0.0379983138622,52.9069767442,0.300469483568,0.312277706644,0.280355195144,-0.0118082230758,-0.00661545027742
2017-09-28,12.76,12.84,12.55,12.74,12.74,35812300,2017-09-28,-9,0.0784929356358,0.181,13.348,0.122242424242,13.8050909091,,,,,,,12.768,12.7945,12.56315,0.847546924646,-0.847546924646,-0.0643032242997,56.5683646113,0.318181818182,0.274242424242,0.289393939394,0.0439393939394,-0.0557476170152
2017-09-27,12.65,12.87,12.5,12.74,12.74,59947200,2017-09-27,-10,0.0,0.133,13.138,0.108666666667,13.63,,,,,,,12.902,12.791,12.55285,0.849071319305,-0.849071319305,-0.0600656256318,51.3381995134,0.318181818182,0.254545454545,0.359595959596,0.0636363636364,-0.019696969697
2017-09-26,12.85,12.93,12.43,12.45,12.45,68302000,2017-09-26,-11,2.32931726908,0.053,12.784,0.109090909091,13.5069090909,,,,,,,13.102,12.7615,12.54085,0.896220719996,-0.896220719996,-0.347570629701,44.9382716049,0.186363636364,0.339393939394,0.514898989899,-0.15303030303,0.216666666667
2017-09-25,13.25,13.28,12.49,12.61,12.61,84172200,2017-09-25,-12,-1.26883425852,0.057,12.772,0.10096969697,13.3843636364,,,,,,,13.236,12.7505,12.5303,0.917467337725,-0.917467337725,-0.153138966613,46.0759493671,0.259090909091,0.484848484848,0.663040663041,-0.225757575758,0.0727272727273
2017-09-22,13.2,13.4,13.12,13.3,13.3,50547000,2017-09-22,-13,-5.18796992481,-0.099,12.57,0.0607878787879,13.2105454545,,,,,,,13.33,12.7415,12.51505,0.926754949728,-0.926754949728,0.60264042848,51.5580736544,0.572727272727,0.720454545455,0.775414400414,-0.147727272727,-0.0780303030303
2017-09-21,14.0,14.24,13.32,13.41,13.41,166821900,2017-09-21,-14,-0.820283370619,-0.219,12.464,0.00812121212121,12.9805454545,,,,,,,13.174,12.7015,12.4958,0.893727263238,-0.893727263238,0.792747440011,55.6786703601,0.622727272727,0.783818958819,0.743952343952,-0.161091686092,0.0133644133644
2017-09-20,13.07,13.8,12.8,13.74,13.74,102682400,2017-09-20,-15,-2.40174672489,-0.338,12.426,-0.059696969697,12.7183636364,,,,,,,12.944,12.655,12.47215,0.833243503932,-0.833243503932,1.30214036459,64.8199445983,0.965909090909,0.82196969697,0.630115255115,0.143939393939,-0.305031080031
2017-09-19,13.25,13.29,12.88,13.12,13.12,65455200,2017-09-19,-16,4.7256097561,-0.146,12.944,-0.0958181818182,12.5258181818,,,,,,,12.64,12.5765,12.4461,0.685589258654,-0.685589258654,0.792748709435,63.8176638177,0.762820512821,0.626068376068,0.442307692308,0.136752136752,0.00718725718726
2017-09-18,12.77,13.3,12.74,13.08,13.08,83517400,2017-09-18,-17,0.305810397554,0.073,13.476,-0.0860606060606,12.6067272727,,,,,,,12.476,12.523,12.42245,0.673907693197,-0.673907693197,0.826522690901,61.9718309859,0.737179487179,0.442307692308,0.304131054131,0.294871794872,-0.15811965812
2017-09-15,12.33,12.66,12.31,12.52,12.52,50337400,2017-09-15,-18,4.47284345048,0.244,13.662,-0.0439393939394,12.7732727273,,,,,,,12.37,12.4875,12.4016,0.62326390457,-0.62326390457,0.0521448454847,51.4106583072,0.378205128205,0.258547008547,0.25073846853,0.119658119658,0.175213675214
